Source,string_generic,count_0,count_1,count_g,count_f,count_.,count_i,count_space,count_4,count_k,count_8,count_5,count_q,count_r,count_p,"count_,",count_j,count_m,count_2,count_c,count_b,count_n,count_3,count_d,count_h,count_l,count_7,count_a,count_o,count_6,count_e
Cloud,4i3al akmhl 088085 akmbl 2k6cg85 e0j b866dk03.,4,0,1,0,1,1,6,1,4,5,2,0,0,0,0,1,2,1,1,2,0,2,1,1,3,0,3,0,3,1
ABC1,4i3al n8p0pbl3 e0j n8o8agdk03.,3,0,1,0,1,1,3,1,1,3,0,0,0,2,0,1,0,0,0,1,2,3,1,0,2,0,2,1,0,1
ABC2,4i3al dq8bl jkiedk03 20qjgh08 n8p0pal3 e0j jkiepk33.,5,0,1,0,1,3,6,1,4,3,0,2,0,3,0,4,0,1,0,1,1,5,2,1,3,0,2,0,0,3
ABC3,4i3al p0pbl n8p0pflc qjgdk03.,3,0,1,1,1,1,3,1,1,1,0,1,0,4,0,1,0,0,1,1,1,2,1,0,3,0,1,0,0,0
ABC4,4i3al kfikbl3 20qjgd 0qjgdk03.,3,0,2,1,1,2,3,1,3,0,0,2,0,0,0,2,0,1,0,1,0,3,2,0,2,0,1,0,0,0
ABC5,"4i3al kfihl3 kfikbl3 1gpk33, 20qjgdk03.",2,1,2,2,1,3,4,1,5,0,0,1,0,1,1,1,0,1,0,1,0,6,1,1,3,0,1,0,0,0
ABC6,4i3al p0pbl n8p0pflc qjgdk03 20qjgh08 kfikjl3 20qjgdk03.,7,0,3,2,1,2,6,1,4,2,0,3,0,4,0,4,0,2,1,1,1,4,2,1,4,0,1,0,0,0
ABC7,4i3al kfikbl3 qjgdk03 20qjgh08 dq8al jkiepk03.,4,0,2,1,1,3,5,1,5,2,0,3,0,1,0,3,0,1,0,1,0,4,2,1,3,0,2,0,0,1
ABC8,kbikal3 4i3bl n8o8agdk33.,0,0,1,0,1,2,2,1,3,2,0,0,0,0,0,0,0,0,0,2,1,4,1,0,2,0,2,1,0,0
ABC9,kbikal3 dq8bl n8jkiedk33.,0,0,0,0,1,2,2,0,4,2,0,1,0,0,0,1,0,0,0,2,1,3,2,0,2,0,1,0,0,1
