Source,idx_0,idx_1,idx_2,idx_3,idx_4,idx_5,idx_6,idx_7,idx_8,idx_9,idx_10,idx_11,idx_12,idx_13,idx_14,idx_15,idx_16,idx_17,idx_18,idx_19,idx_20,idx_21,idx_22,idx_23,idx_24,idx_25,idx_26,idx_27,idx_28,idx_29,idx_30,idx_31,idx_32,idx_33,idx_34,idx_35,idx_36,idx_37,idx_38,idx_39,idx_40,idx_41,idx_42,idx_43,idx_44,idx_45,idx_46,idx_47,idx_48,idx_49,idx_50,idx_51,idx_52,idx_53,idx_54,idx_55,idx_56,idx_57,idx_58,idx_59,idx_60,idx_61,string_raw,string_generic
Cloud,4,I,3,A,l, ,a,K,m,H,l, ,0,*,8,),8,%, ,A,k,M,b,L, ,@,k,^,c,G,8,%, ,E,0,J, ,B,8,^,6,D,k,),3,>, , , , , , , , , , , , , , , , ,4I3Al aKmHl 0*8)8% AkMbL @k^cG8% E0J B8^6Dk)3>,4i3al akmhl 088085 akmbl 2k6cg85 e0j b866dk03.
ABC1,4,I,3,A,l, ,n,*,p,),p,B,l,#, ,E,0,J, ,N,8,O,8,A,g,D,k,),3,>, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4I3Al n*p)pBl# E0J N8O8AgDk)3>,4i3al n8p0pbl3 e0j n8o8agdk03.
ABC2,4,I,3,A,l, ,d,Q,8,B,l, ,j,K,i,E,d,K,0,#, ,@,0,Q,j,G,h,),8, ,n,*,p,),p,A,l,#, ,E,0,J, ,J,k,I,e,P,k,#,3,>, , , , , , , , , , ,4I3Al dQ8Bl jKiEdK0# @0QjGh)8 n*p)pAl# E0J JkIePk#3>,4i3al dq8bl jkiedk03 20qjgh08 n8p0pal3 e0j jkiepk33.
ABC3,4,I,3,A,l, ,p,),p,B,l, ,n,*,p,),p,F,l,C, ,Q,j,G,d,K,0,#,., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4I3Al p)pBl n*p)pFlC QjGdK0#.,4i3al p0pbl n8p0pflc qjgdk03.
ABC4,4,I,3,A,l, ,k,F,i,K,b,L,3, ,2,),q,J,g,D, ,),q,J,g,D,k,),3,>, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4I3Al kFiKbL3 2)qJgD )qJgDk)3>,4i3al kfikbl3 20qjgd 0qjgdk03.
ABC5,4,I,3,A,l, ,k,F,i,H,l,#, ,K,f,I,k,B,l,#, ,!,g,P,k,#,3,<, ,@,0,Q,j,G,d,K,0,#,., , , , , , , , , , , , , , , , , , , , , , , ,4I3Al kFiHl# KfIkBl# !gPk#3< @0QjGdK0#.,"4i3al kfihl3 kfikbl3 1gpk33, 20qjgdk03."
ABC6,4,I,3,A,l, ,p,),p,B,l, ,n,*,p,),p,F,l,C, ,Q,j,G,d,K,0,#, ,@,0,Q,j,G,h,),8, ,k,F,i,K,j,L,3, ,2,),q,J,g,D,k,),3,>, , , , , , ,4I3Al p)pBl n*p)pFlC QjGdK0# @0QjGh)8 kFiKjL3 2)qJgDk)3>,4i3al p0pbl n8p0pflc qjgdk03 20qjgh08 kfikjl3 20qjgdk03.
ABC7,4,I,3,A,l, ,k,F,i,K,b,L,3, ,q,J,g,D,k,),3, ,2,),q,J,g,H,0,*, ,D,q,*,a,L, ,J,k,I,e,P,k,),3,>, , , , , , , , , , , , , , , , ,4I3Al kFiKbL3 qJgDk)3 2)qJgH0* Dq*aL JkIePk)3>,4i3al kfikbl3 qjgdk03 20qjgh08 dq8al jkiepk03.
ABC8,k,B,i,K,a,L,3, ,4,I,3,B,l, ,n,*,o,*,a,G,d,K,3,#,., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,kBiKaL3 4I3Bl n*o*aGdK3#.,kbikal3 4i3bl n8o8agdk33.
ABC9,k,B,i,K,a,L,3, ,d,Q,8,B,l, ,n,*,j,K,i,E,d,K,3,#,., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,kBiKaL3 dQ8Bl n*jKiEdK3#.,kbikal3 dq8bl n8jkiedk33.
